City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kodiak,90,US,1554188370,28,39.95,-94.76,45,10.29
Longyearbyen,75,NO,1554184200,66,78.22,15.63,10.4,9.17
Lorengau,20,PG,1554188398,93,-2.02,147.27,84.64,13.24
Periyapatti,0,IN,1554184800,41,11.22,78.15,96.8,6.93
Alekseyevsk,76,RU,1554188398,59,57.84,108.35,32.71,9.66
Aksarka,64,RU,1554188399,91,66.56,67.8,22.9,14.25
Miragoane,24,HT,1554188116,90,18.44,-73.09,75,2.39
Dibulla,44,CO,1554188400,97,11.27,-73.31,76.54,14.03
Pisco,40,PE,1554184800,88,-13.71,-76.2,68,3.36
Puro,0,PH,1554188401,60,13.13,123.76,86.44,9.66
Balkanabat,76,TM,1554188402,83,39.51,54.36,51.43,4.18
Kruisfontein,88,ZA,1554188403,90,-34,24.73,57.1,3.18
Bonthe,68,SL,1554188405,93,7.53,-12.5,81.13,2.84
Bredasdorp,68,ZA,1554187505,77,-34.53,20.04,62.01,5.99
Pen,0,IN,1554186600,46,18.74,73.09,89.6,6.93
Fujinomiya,75,JP,1554186240,22,35.24,138.62,50,9.17
Madison,90,US,1554188411,77,43.07,-89.38,46.4,5.82
Chokurdakh,12,RU,1554188414,86,70.62,147.9,8.95,13.58
Lata,0,IN,1554188245,58,30.78,78.62,60.43,1.61
Pangnirtung,20,CA,1554188418,61,66.15,-65.72,-7.88,4.97
Luanda,75,AO,1554184800,88,-8.83,13.24,82.4,4.7
Kihei,20,US,1554188379,88,20.76,-156.45,73,16.11
Kuminskiy,0,RU,1554188421,77,58.67,66.57,35.95,8.21
Apeldoorn,40,NL,1554188417,70,52.22,5.96,51.01,8.05
Hasaki,75,JP,1554188076,27,35.73,140.83,55.4,5.82
Praia,0,BR,1554184800,93,-20.25,-43.81,66.2,5.82
Sobolevo,0,RU,1554188423,67,54.43,31.9,35.14,4.85
Cuamba,8,MZ,1554188423,66,-14.8,36.54,72.67,4.41
Saint-Pierre,92,FR,1554188243,76,48.95,4.24,53.6,6.93
Cururupu,92,BR,1554188425,98,-1.82,-44.87,72.58,1.72
Nakamura,40,JP,1554188415,70,35.17,136.87,55,23.04
Maniitsoq,92,GL,1554188426,88,65.42,-52.9,22.36,13.58
Oksfjord,75,NO,1554188106,100,70.24,22.35,32,5.82
Palpa,8,PE,1554188329,82,-14.53,-75.19,54.94,0.94
Sistranda,0,NO,1554188361,74,63.73,8.83,37,13.87
Kitgum,24,UG,1554188427,40,3.3,32.88,80.32,4.74
Dikson,68,RU,1554188428,100,73.51,80.55,23.89,27.56
Havoysund,75,NO,1554186000,80,71,24.66,33.8,13.87
Tarko-Sale,92,RU,1554188227,83,64.92,77.78,32,9.78
Bandarbeyla,92,SO,1554188201,100,9.49,50.81,78.88,5.64
Saskylakh,48,RU,1554188161,94,71.97,114.09,31.09,11.56
Souillac,90,FR,1554188319,93,45.6,-0.6,51.01,4.7
Bondo,92,CD,1554188432,94,3.81,23.69,74.74,2.73
Geraldton,75,CA,1554184800,68,49.72,-86.95,28.4,10.29
Ilebo,56,CD,1554188432,91,-4.33,20.59,78.52,2.73
Jutai,92,BR,1554188433,97,-1.71,-47.89,75.37,2.17
Nuevitas,20,CU,1554184320,94,21.55,-77.27,69.8,5.82
Mersing,36,MY,1554188434,100,2.43,103.84,83.2,7.2
Sabang,20,PH,1554188435,70,13.72,123.58,85.09,9.66
Auxerre,92,FR,1554188403,76,47.8,3.58,53.6,6.93
Hambantota,40,LK,1554185400,52,6.12,81.12,91.4,5.82
Palmer,1,US,1554188435,69,61.6,-149.11,37,1.95
Itoman,0,JP,1554187945,40,26.12,127.67,71.6,9.17
Camacha,75,PT,1554186600,87,33.08,-16.33,59,10.29
Myaundzha,76,RU,1554188439,76,63.05,147.18,20.65,3.74
Broome,12,GB,1554188434,100,52.47,1.45,44.01,4.7
Joshimath,0,IN,1554188441,97,30.57,79.57,24.7,1.16
Salur,0,IN,1554188441,55,18.52,83.21,92.92,3.96
Vyshkov,0,RU,1554186600,74,52.48,31.69,35.6,6.71
Bambanglipuro,88,ID,1554188442,89,-7.95,110.28,80.5,4.29
Clyde,0,NZ,1554187577,78,-45.19,169.32,46,1.01
Vacha,0,RU,1554188444,84,55.8,42.77,33.79,9.44
Saint-Francois,0,FR,1554187579,75,46.42,3.91,42.8,4.7
Nuuk,92,GL,1554184200,100,64.17,-51.74,33.8,6.93
Dispur,20,IN,1554186600,62,26.14,91.79,86,3.36
Tautira,40,PF,1554187941,74,-17.73,-149.15,82.4,3.36
Klyuchi,24,RU,1554188446,60,52.25,79.17,56.65,9.89
Sambava,64,MG,1554188447,100,-14.27,50.17,83.2,6.76
Castro,90,CL,1554184800,100,-42.48,-73.76,50,1.12
Kochevo,0,BG,1554186600,47,42.1,24.92,55.4,12.75
Cervo,20,BR,1554188450,95,-22.19,-46.24,57.82,3.51
Mezen,12,RU,1554188450,73,65.85,44.24,29.38,7.99
Andros,20,GR,1554188398,58,37.83,24.93,60.01,17.22
Khandyga,0,RU,1554188369,48,62.65,135.58,26.68,3.51
Dingle,12,PH,1554188453,54,11,122.67,88.6,12.01
Eureka,90,US,1554188315,93,40.8,-124.16,55,6.64
Awbari,0,LY,1554188455,63,26.59,12.77,55.93,5.41
Otane,88,NZ,1554187336,77,-39.89,176.62,54,8.55
Shenjiamen,92,CN,1554188456,83,29.96,122.3,56.02,13.47
Ostrovnoy,20,RU,1554188457,90,68.05,39.51,24.88,15.93
Rochefort,90,FR,1554188451,87,45.94,-0.97,52,13.87
Tiksi,0,RU,1554188458,75,71.64,128.87,23.17,3.96
Nome,1,US,1554188340,93,30.04,-94.42,46.4,3.36
Konstantinovka,0,MD,1554187540,46,47.99,28.86,39.99,11.99
Coquimbo,90,CL,1554184800,87,-29.95,-71.34,59,6.93
Parana,75,BR,1554187800,94,-7.52,-72.89,77,3.74
Namibe,0,AO,1554188462,100,-15.19,12.15,78.97,6.31
Calamar,92,CO,1554188463,97,1.96,-72.65,75.28,2.39
Victoria,75,BN,1554186600,66,5.28,115.24,89.6,5.82
Ust-Uda,0,RU,1554188464,53,54.17,103.03,41.62,4.74
Bilibino,88,RU,1554188464,75,68.06,166.44,31.45,6.2
Yuncheng,88,CN,1554188465,31,35.03,111,64.57,3.51
Wajima,40,JP,1554184800,86,37.4,136.9,39.2,8.05
Tvoroyri,0,FO,1554186000,100,61.56,-6.81,32,2.24
Jamai,0,IN,1554188466,21,22.2,78.55,96.25,4.52
Cidreira,0,BR,1554188467,94,-30.17,-50.22,68.62,9.1
Mehamn,75,NO,1554184200,80,71.03,27.85,33.8,14.99
Beringovskiy,92,RU,1554188468,98,63.05,179.32,30.82,11.34
Awjilah,0,LY,1554188468,43,29.14,21.3,59.53,12.46
Basco,1,US,1554188453,60,40.33,-91.2,42.8,10.29
Muroto,75,JP,1554184800,33,33.37,134.14,57.2,9.17
Berlevag,75,NO,1554184200,86,70.86,29.09,30.2,18.34
Adamas,20,GR,1554184200,62,36.73,24.43,57.2,20.8
Sitka,0,US,1554188471,58,37.17,-99.65,40.45,8.43
Hoquiam,90,US,1554188315,93,46.98,-123.89,55,6.93
Karratha,0,AU,1554188368,19,-20.74,116.85,103.09,7.31
Takoradi,0,GH,1554188474,100,4.89,-1.75,81.31,5.41
Harwich,1,US,1554188472,73,41.69,-70.08,36,5.75
Ornskoldsvik,0,SE,1554186000,64,63.29,18.72,35.6,9.17
Arandis,0,NA,1554184931,88,-22.42,14.98,59,5.01
Riyadh,75,SA,1554184800,25,24.63,46.72,64.4,9.17
Jertih,75,MY,1554184800,59,5.74,102.5,93.2,11.41
Airai,80,TL,1554188188,80,-8.93,125.41,76.9,2.39
Marzuq,0,YE,1554188478,28,14.4,46.47,77.98,3.62
Mendi,0,ET,1554188478,21,9.8,35.1,76.27,3.96
Okhotsk,32,RU,1554188478,68,59.36,143.24,33.97,4.29
Nouadhibou,36,MR,1554184800,88,20.93,-17.03,62.6,5.82
Khash,36,IR,1554188480,28,28.22,61.21,80.5,4.18
Dwarka,0,IN,1554187508,24,28.58,77.04,91.4,3.36
Ordzhonikidze,24,UA,1554188480,92,44.96,35.36,46.57,12.8
Bud,0,NO,1554188457,100,62.91,6.91,39.2,6.93
Jacksonville,90,US,1554188259,100,30.33,-81.66,62.6,6.64
Rawlins,90,US,1554186900,74,41.79,-107.24,35.6,14.99
Iqaluit,40,CA,1554187921,64,63.75,-68.52,-2.01,2.24
Lishan,36,CN,1554188486,42,24.07,102.75,74.29,11.23
Huicungo,8,PE,1554188487,92,-7.28,-76.8,72.22,1.83
Talnakh,20,RU,1554188487,93,69.49,88.39,25.78,8.55
Husavik,88,CA,1554188424,92,50.56,-96.99,35.01,5.99
Bathsheba,40,BB,1554184800,73,13.22,-59.52,77,10.29
Qaqortoq,100,GL,1554188490,95,60.72,-46.03,35.5,29.57
Edson,1,CA,1554184800,74,53.59,-116.44,28.4,4.7
Bubaque,12,GW,1554188492,100,11.28,-15.83,77.8,15.93
Doha,75,QA,1554186600,56,25.29,51.53,75.2,14.99
Dubai,68,AE,1554184800,42,25.27,55.3,86,11.41
Meshchovsk,0,RU,1554188494,96,54.32,35.29,32.44,7.2
Kuloy,24,RU,1554188494,90,61.03,42.49,27.94,9.44
Morgantown,1,US,1554188306,50,39.63,-79.96,34,10.29
Saldanha,36,PT,1554188495,84,41.42,-6.55,41.08,2.73
Gobabis,88,NA,1554188496,84,-22.45,18.97,63.85,5.64
Hualmay,48,PE,1554188497,97,-11.1,-77.61,64.57,3.96
Omsukchan,88,RU,1554188497,89,62.53,155.8,28.57,3.29
Itarema,88,BR,1554188229,100,-2.92,-39.92,72.58,3.4
Sorland,75,NO,1554186000,86,67.67,12.69,41,26.4
Aquiraz,75,BR,1554188400,94,-3.9,-38.39,75.2,5.82
Albert,92,FR,1554188475,81,50,2.65,52,5.82
Nantucket,1,US,1554188284,73,41.28,-70.1,36,5.75
Bukama,20,CD,1554188499,81,-9.2,25.85,75.64,4.63
Oban,80,GB,1554188344,95,56.42,-5.47,36,5.75
Guilin,90,CN,1554184800,93,25.28,110.29,59,4.47
Adrar,0,DZ,1554184800,62,27.87,-0.29,59,11.41
Pedasi,92,PA,1554188501,91,7.53,-80.03,75.28,7.76
Pevek,0,RU,1554188502,72,69.7,170.27,27.13,17.38
Hammond,1,US,1554188486,80,30.5,-90.46,55.4,5.3
Sindou,80,BF,1554188504,92,10.66,-5.16,70.24,10.89
Dalhousie,0,IN,1554188505,45,32.54,75.98,65.92,1.39
Guaymas,0,MX,1554188417,68,27.92,-110.9,63,3
Torbay,20,CA,1554188300,74,47.66,-52.73,32,31.09
Mecca,0,SA,1554188361,19,21.43,39.83,73.21,4.74
Biltine,0,TD,1554188507,21,14.53,20.93,76,17.72
Trelew,0,AR,1554188305,41,-43.25,-65.31,72.67,21.63
Almaznyy,0,RU,1554186600,57,48.03,40.04,48.2,17.9
Sampit,36,ID,1554188337,81,-2.54,112.95,88.15,7.43
Port-Gentil,40,GA,1554184800,94,-0.72,8.78,80.6,4.7
Kulu,92,CD,1554188517,94,3.47,23.69,74.74,2.73
Abha,40,SA,1554184800,63,18.22,42.5,66.2,11.41
Labuhan,76,ID,1554188519,76,-2.54,115.51,82.3,3.18
Otsuki,75,JP,1554188503,23,35.64,138.92,55,20.8
Ust-Nera,20,RU,1554188435,71,64.57,143.24,16.78,2.62
Ugoofaaru,0,MV,1554188521,100,5.67,73,83.2,1.72
Yulara,0,AU,1554184800,9,-25.24,130.99,86,8.05
Liberal,40,US,1554188238,55,37.04,-100.92,42.8,8.05
Chimbote,64,PE,1554188523,96,-9.08,-78.59,67,2.39
Hohhot,0,CN,1554184800,8,40.81,111.65,59,8.95
Davila,75,PH,1554184800,66,18.47,120.58,86,6.93
Zaykovo,0,RU,1554188526,76,57.56,62.76,38.92,7.31
Constitucion,0,MX,1554188415,60,23.99,-104.67,55.99,5.99
Bagdarin,20,RU,1554188527,31,54.44,113.59,39.28,10.45
Laguna,8,MX,1554188359,66,27.52,-110.01,61.96,2.17
Tommot,56,RU,1554188531,54,58.97,126.27,33.16,3.29
Yar-Sale,0,RU,1554188531,92,66.83,70.83,21.73,12.8
Vao,20,EE,1554188532,85,59.1,26.19,31.27,8.77
Cayenne,20,GF,1554186600,88,4.94,-52.33,77,3.36
Dunedin,76,NZ,1554188257,88,-45.87,170.5,51.01,3
Sabirabad,40,AZ,1554184800,81,40.01,48.48,51.8,4.7
Lebu,40,ET,1554188400,49,8.96,38.73,68,13.87
Evanston,90,US,1554188298,65,42.04,-87.69,43,10.29
Jawhar,0,IN,1554188535,40,19.91,73.23,92.02,4.18
Yerbogachen,76,RU,1554188536,61,61.28,108.01,33.88,13.13
Baracoa,36,CU,1554188536,100,20.35,-74.5,76.9,11.23
Piacabucu,36,BR,1554188456,96,-10.41,-36.43,73.21,2.73
Lagoa,0,PT,1554188422,87,37.14,-8.45,54,5.82
Camocim,88,BR,1554188537,97,-2.9,-40.84,73.39,3.18
Bonnyville,75,CA,1554184800,86,54.27,-110.74,26.6,5.82
Salalah,40,OM,1554184200,65,17.01,54.1,82.4,9.17
Dhoraji,0,IN,1554188540,30,21.73,70.45,98.05,7.99
Kajiado,75,KE,1554186600,68,-1.85,36.79,71.6,10.29
Dali,48,CN,1554188541,61,25.6,100.24,62.68,5.97
Khilok,0,RU,1554188542,25,51.36,110.46,49.54,10.11
Norden,20,DE,1554188525,64,53.59,7.21,43,9.17
Rockland,1,US,1554188434,58,42.13,-70.92,33.01,4.7
Miramar,0,CR,1554187673,68,10.09,-84.73,71.6,11.41
Minna,0,NG,1554188544,48,9.62,6.55,70.78,7.31
Katsuura,75,JP,1554186855,37,33.93,134.5,55.4,16.11
Poronaysk,80,RU,1554188545,70,49.22,143.1,30.55,7.65
Cody,1,US,1554187511,92,44.53,-109.06,35.01,5.82
Onega,68,RU,1554188546,88,63.91,38.09,31,10.78
Semey,0,KZ,1554186600,58,50.41,80.25,59,8.95
Baykit,56,RU,1554188356,76,61.68,96.39,30.82,8.77
Inndyr,75,NO,1554188491,80,67.03,14.03,39.2,11.41
Kizema,32,RU,1554188547,88,61.11,44.83,26.86,10.56
Yumen,0,CN,1554188549,31,40.29,97.04,62.23,7.65
Maningrida,92,AU,1554188550,87,-12.05,134.23,83.2,12.46
Prabumulih,76,ID,1554188551,95,-3.5,104.19,81.4,3.96
Manggar,88,ID,1554188551,100,-2.88,108.27,77.8,7.99
Kamen-na-Obi,0,RU,1554188552,69,53.79,81.35,47.2,10
Alofi,0,NU,1554184800,78,-19.06,-169.92,77,6.93
Kedrovyy,0,RU,1554186600,29,56.17,91.82,48.2,8.95
Bacolod,8,PH,1554188467,64,10.68,122.95,86.08,9.66
Karla,0,EE,1554188526,80,59.37,24.93,37,9.17
Ergani,75,TR,1554186000,93,38.27,39.76,50,4.7
Matara,92,PE,1554188555,97,-13.74,-72.9,45.22,2.17
Kapchorwa,8,UG,1554188556,66,1.4,34.45,74.11,3.18
Chakulia,0,IN,1554184800,22,22.48,86.72,96.8,3.36
Aginskoye,0,RU,1554188557,20,51.11,114.54,51.34,10
Jining,76,CN,1554188558,49,35.41,116.58,69.52,6.2
Zbarazh,0,UA,1554188559,53,49.66,25.78,34.87,8.99
Eregli,88,TR,1554188560,95,37.51,34.05,40.81,3.96
Jasper,64,US,1554188553,53,33.83,-87.28,53.6,3.51
Hue,20,VN,1554186600,62,16.47,107.58,89.6,10.29
Isangel,75,VU,1554184800,70,-19.55,169.27,84.2,6.93
Zhanakorgan,0,KZ,1554188562,95,43.91,67.25,57.28,9.55
Natal,40,BR,1554184800,94,-5.81,-35.21,73.4,3.36
Charlestown,1,US,1554188554,79,41.38,-71.64,33.01,5.86
Birao,0,CF,1554188563,22,10.3,22.78,74.83,14.58
Nobeoka,8,JP,1554188544,43,32.66,131.66,51.01,8.99
Fukue,40,JP,1554188415,70,35.03,136.69,55,23.04
Cacador,8,BR,1554188565,97,-26.78,-51.02,59.44,4.97
Kloulklubed,75,PW,1554187800,74,7.04,134.26,84.2,11.41
Katherine,8,AU,1554186600,30,-14.47,132.26,95,10.29
Port-Cartier,20,CA,1554188562,52,50.03,-66.88,21.99,9.17
Una,0,BR,1554184800,94,-15.29,-39.07,75.2,3.36
Namatanai,68,PG,1554188567,96,-3.66,152.44,83.56,12.12
Sandovo,20,RU,1554188568,88,58.46,36.41,28.57,7.43
Maragogi,32,BR,1554188435,100,-9.01,-35.22,73.75,2.06
Tual,92,ID,1554188569,100,-5.67,132.75,77.17,17.27
Suntar,92,RU,1554188569,88,62.16,117.65,36.58,8.77
Poum,0,MK,1554186600,63,41.28,20.71,51.8,1.16
Trairi,64,BR,1554188571,100,-3.28,-39.27,80.41,7.2
Palauig,36,PH,1554188572,79,15.44,119.9,82.12,3.4
Pandamatenga,0,BW,1554188572,41,-18.54,25.64,71.05,11.23
Rincon,90,US,1554188555,93,32.3,-81.24,50,6.93
Kailua,75,US,1554188223,73,21.39,-157.74,75.2,4.7
Valdivia,90,CL,1554184800,87,-39.81,-73.25,57.2,2.24
Tadepallegudem,40,IN,1554186600,50,16.82,81.53,96.8,9.17
Cascas,56,PE,1554188574,96,-7.48,-78.82,51.88,2.17
Merauke,32,ID,1554188575,81,-8.49,140.4,85.81,7.87
Islampur,48,IN,1554188575,71,26.26,88.19,80.77,5.64
Toccoa,1,US,1554188564,41,34.58,-83.33,46.99,5.82
Sonari,40,IN,1554186600,65,27.03,95.02,77,14.99
Golfito,12,CR,1554188576,91,8.64,-83.17,81.67,1.5
Cessnock,75,AU,1554188501,73,-32.83,151.35,72,8.05
Harper,1,US,1554188571,55,30.3,-99.24,45,9.44
Acapulco,5,MX,1554183840,78,16.86,-99.88,75.2,2.73
Nishihara,75,JP,1554188562,23,35.74,139.53,57,20.8
Saint-Leu,0,RE,1554188443,62,-21.15,55.28,89.6,16.11
Eenhana,75,NA,1554184800,61,-17.48,16.34,77,2.84
Southbridge,1,US,1554188578,73,42.08,-72.03,28.99,2.62
Polevskoy,0,RU,1554186600,51,56.44,60.17,39.2,4.47
Erenhot,0,CN,1554188581,37,43.65,111.97,56.2,6.42
Tsabong,0,BW,1554188581,33,-26.02,22.4,64.48,4.97
Oparino,8,RU,1554188581,73,59.85,48.28,34.6,3.62
Gushikawa,0,JP,1554188546,40,26.35,127.87,71.6,9.17
Paratinga,80,BR,1554188582,100,-12.69,-43.18,68.35,3.51
Bonfim,0,GY,1554188583,57,3.36,-59.84,80.86,12.46
Madimba,40,CM,1554184800,100,4.42,9.93,80.6,3.36
Concarneau,75,FR,1554188441,87,47.88,-3.92,50,9.17
Avera,90,US,1554188435,40,33.19,-82.53,53.6,5.82
Diffa,0,NE,1554188585,25,13.32,12.61,71.32,10
Kamina,12,CD,1554188422,90,-8.74,25,73.48,4.07
Tilichiki,92,RU,1554188586,95,60.47,166.1,34.24,12.01
Starokozache,0,UA,1554186600,39,46.34,29.99,44.6,15.66
Fairhope,90,US,1554188464,87,30.52,-87.9,55,4.41
Opuwo,0,NA,1554188569,83,-18.06,13.84,59.98,2.62
Upington,0,ZA,1554186180,20,-28.46,21.24,66.2,5.82
Jalu,0,LY,1554188589,42,29.03,21.55,58,9.78
